Titres;*chaine_BarbareCivilise;*chaine_FDENEWS;*chaine_JulienRochedy;*chaine_codeReinho;*chaine_LeRaptor;*chaine_ThaisdEscufon;*chaine_VAplus;*chaine_LAssimile;*chaine_Valek;*chaine_Psyhodelik;*chaine_BrunoleSale;*chaine_ElRayhan;*chaine_BENCHCIGARS;*chaine_Ring
dis;1;0;2;2;0;0;3;4;1;7;3;4;6;7
parce;18;2;11;8;43;8;17;13;10;15;5;14;29;38
livre;10;0;1;0;2;1;2;4;0;0;0;0;0;0
bouquin;5;0;0;1;0;0;0;0;0;0;0;0;0;10
fous;1;0;0;0;0;0;2;0;0;0;1;0;0;0
avant;7;2;3;6;7;15;4;2;6;5;7;2;2;8
importe;5;0;2;1;4;0;2;4;3;1;1;1;3;1
quoi;3;4;2;2;7;8;3;5;2;5;5;3;20;10
boulot;1;0;0;2;0;0;0;0;1;0;0;2;0;1
difficilement;1;0;0;0;0;1;0;0;0;0;0;0;0;0
compréhensible;3;0;0;0;0;0;0;0;2;0;0;0;0;0
poser;1;0;0;1;0;4;1;0;1;0;0;1;0;0
problèmes;1;0;0;0;2;1;0;1;0;1;0;0;0;0
suivantes;1;0;0;0;0;0;0;0;0;1;0;0;0;0
parlera;1;0;0;1;0;0;1;0;0;0;0;0;0;1
après;6;0;1;6;6;4;11;0;7;10;10;3;11;9
air;1;1;0;0;2;1;0;0;1;1;1;0;1;0
importance;3;0;0;0;0;0;0;0;0;0;0;0;0;0
ensuite;4;0;5;2;10;1;4;1;0;1;0;0;1;1
venir;1;0;1;0;3;3;1;0;3;1;1;2;2;1
question;3;2;0;3;3;10;5;1;3;6;2;4;1;1
janvier;1;0;0;0;0;1;0;0;0;0;1;0;0;0
répondre;1;1;0;2;0;4;1;0;0;0;1;0;0;1
surtout;6;3;2;4;2;8;4;4;3;2;5;0;2;3
couleur;1;0;3;0;0;0;2;1;0;1;1;0;0;0
existe;2;1;5;3;2;1;4;6;1;1;0;2;2;3
revanche;2;1;3;0;0;0;0;0;0;0;0;0;0;0
inventé;1;0;0;0;0;0;0;0;0;0;0;0;2;0
comté;1;0;0;0;0;1;0;0;0;2;0;0;0;0
crayon;2;0;0;0;0;0;0;0;0;1;0;0;0;0
papier;3;0;0;0;0;1;0;0;0;0;0;1;12;0
effet;1;0;2;2;1;1;8;2;0;0;0;2;0;0
mine;1;0;0;0;0;0;0;0;0;0;0;0;1;1
graphie;1;0;0;0;0;0;0;0;0;0;0;0;0;2
bois;1;0;0;0;0;0;0;0;0;0;0;0;0;3
aujourd;3;1;5;9;7;7;4;4;0;2;1;5;7;2
hui;3;1;6;9;7;7;4;4;0;2;1;5;6;2
big;1;0;0;1;0;0;0;0;1;0;0;0;0;0
mis;2;0;0;2;6;2;7;0;0;0;0;0;4;7
portée;1;0;0;1;0;0;0;0;0;0;0;0;0;0
bourses;1;0;0;0;0;0;0;0;0;0;0;1;0;0
modestes;1;0;2;0;0;0;0;0;0;0;0;0;0;0
bout;2;0;0;0;1;2;0;2;1;0;0;2;8;1
génie;2;0;0;0;0;0;0;0;1;0;0;0;0;1
français;2;3;1;0;9;9;2;26;4;0;0;1;3;7
comme;20;8;12;34;28;15;17;10;32;11;18;10;20;32
allez;2;3;3;3;5;1;6;0;3;2;2;4;5;1
pouvoir;2;0;3;4;4;5;4;10;3;3;1;3;1;0
acheter;2;1;0;3;1;0;0;0;2;4;0;5;0;0
marque;1;0;0;0;1;0;0;0;0;0;0;0;0;0
toujours;3;1;5;7;10;12;5;8;2;5;8;0;8;2
sous;5;2;2;4;3;4;9;1;4;1;6;1;1;1
main;2;0;0;1;8;0;3;2;1;0;0;0;1;6
passage;4;0;0;3;0;3;1;0;0;0;0;0;0;0
important;4;0;1;0;2;2;1;2;3;1;1;0;1;1
soutient;1;0;0;0;0;0;2;0;0;0;0;0;0;0
évidemment;3;0;4;3;7;3;5;2;7;2;0;4;0;0
traite;1;0;0;0;0;1;0;0;0;0;2;0;0;1
manière;7;0;2;1;3;0;2;0;3;5;0;1;1;0
broché;2;0;0;0;0;0;0;0;0;0;0;0;0;0
poche;3;0;0;0;0;0;0;0;0;0;0;0;0;0
lire;4;1;1;0;2;1;1;1;0;1;0;2;0;1
milieux;1;0;0;0;0;0;0;0;0;0;0;0;0;1
où;10;1;4;10;12;4;7;3;16;4;5;2;7;14
crois;4;0;1;0;2;1;1;1;1;0;0;0;2;0
bureau;1;0;1;0;0;0;0;0;1;0;2;0;0;0
table;1;0;0;0;1;0;0;0;0;0;2;0;0;2
cas;4;3;3;8;5;1;5;2;15;0;5;8;3;1
